month,Monthly_Sales
2009-11-30,2462530.0
2009-12-31,2475905.0
2010-01-31,2475402.0
2010-02-28,2486481.0
2010-03-31,2528722.0
2010-04-30,2550735.0
2010-05-31,2526720.0
2010-06-30,2525726.0
2010-07-31,2529500.0
2010-08-31,2541602.0
2010-09-30,2560006.0
2010-10-31,2583730.0
2010-11-30,2610485.0
2010-12-31,2621363.0
2011-01-31,2637987.0
2011-02-28,2658053.0
2011-03-31,2681108.0
2011-04-30,2696177.0
2011-05-31,2692659.0
2011-06-30,2716698.0
2011-07-31,2713761.0
2011-08-31,2721245.0
2011-09-30,2743782.0
2011-10-31,2758811.0
2011-11-30,2767228.0
2011-12-31,2767175.0
2012-01-31,2794907.0
2012-02-29,2828339.0
2012-03-31,2836817.0
2012-04-30,2822330.0
2012-05-31,2818618.0
2012-06-30,2799219.0
2012-07-31,2811369.0
2012-08-31,2839431.0
2012-09-30,2857513.0
2012-10-31,2857556.0
2012-11-30,2871094.0
2012-12-31,2882135.0
2013-01-31,2905905.0
2013-02-28,2933722.0
2013-03-31,2915522.0
2013-04-30,2902705.0
2013-05-31,2919942.0
2013-06-30,2924461.0
2013-07-31,2943631.0
2013-08-31,2938760.0
2013-09-30,2944582.0
2013-10-31,2954283.0
2013-11-30,2960704.0
2013-12-31,2975165.0
2014-01-31,2952457.0
2014-02-28,2990144.0
2014-03-31,3016989.0
2014-04-30,3047551.0
2014-05-31,3052004.0
2014-06-30,3063352.0
2014-07-31,3067339.0
2014-08-31,3091017.0
2014-09-30,3085021.0
2014-10-31,3097824.0
2014-11-30,3107226.0
2014-12-31,3093888.0
2015-01-31,3081811.0
2015-02-28,3076501.0
2015-03-31,3114048.0
2015-04-30,3120486.0
2015-05-31,3139914.0
2015-06-30,3141315.0
2015-07-31,3167642.0
2015-08-31,3168903.0
2015-09-30,3157865.0
2015-10-31,3150425.0
2015-11-30,3163003.0
2015-12-31,3178185.0
2016-01-31,3157124.0
2016-02-29,3190633.0
2016-03-31,3180078.0
2016-04-30,3189713.0
2016-05-31,3199208.0
2016-06-30,3233173.0
2016-07-31,3223221.0
2016-08-31,3228153.0
2016-09-30,3243165.0
2016-10-31,3250032.0
2016-11-30,3248227.0
2016-12-31,3282008.0
2017-01-31,3318424.0
2017-02-28,3316768.0
2017-03-31,3318630.0
2017-04-30,3331712.0
2017-05-31,3314595.0
2017-06-30,3332061.0
2017-07-31,3330854.0
2017-08-31,3339987.0
2017-09-30,3399195.0
2017-10-31,3401394.0
2017-11-30,3441021.0
2017-12-31,3459130.0
2018-01-31,3441871.0
2018-02-28,3465174.0
2018-03-31,3459639.0
2018-04-30,3472681.0
2018-05-31,3518498.0
2018-06-30,3502769.0
2018-07-31,3523991.0
2018-08-31,3520626.0
2018-09-30,3511917.0
2018-10-31,3548965.0
2018-11-30,3568221.0
2018-12-31,3489367.0
2019-01-31,3526624.0
2019-02-28,3522313.0
2019-03-31,3573207.0
2019-04-30,3577760.0
2019-05-31,3600017.0
2019-06-30,3609470.0
2019-07-31,3640826.0
2019-08-31,3657373.0
2019-09-30,3637380.0
2019-10-31,3647957.0
2019-11-30,3667147.0
2019-12-31,3681678.0
2020-01-31,3688931.0
2020-02-29,3692348.0
2020-03-31,3464094.0
2020-04-30,2993391.0
2020-05-31,3483878.0
2020-06-30,3759292.0
2020-07-31,3817682.0
2020-08-31,3841828.0
2020-09-30,3915789.0
2020-10-31,3901200.0
2020-11-30,3874178.0
2020-12-31,3908102.0
2021-01-31,4057171.0
2021-02-28,3942346.0
2021-03-31,4339586.0
2021-04-30,4377513.0
2021-05-31,4322924.0
2021-06-30,4374120.0
2021-07-31,4303881.0
2021-08-31,4344257.0
2021-09-30,4366031.0
2021-10-31,4435415.0
2021-11-30,4480639.0
2021-12-31,4446428.0
2022-01-31,4525042.0
2022-02-28,4559938.0
2022-03-31,4645849.0
2022-04-30,4703986.0
2022-05-31,4692951.0
2022-06-30,4725134.0
2022-07-31,4698826.0
2022-08-31,4730192.0
2022-09-30,4727855.0
2022-10-31,4777021.0
2022-11-30,4724455.0
2022-12-31,4688209.0
2023-01-31,4859963.0
2023-02-28,4818848.0
2023-03-31,4756199.0
2023-04-30,4786150.0
2023-05-31,4807883.0
2023-06-30,4815175.0
2023-07-31,4844389.0
2023-08-31,4873011.0
2023-09-30,4908459.0
2023-10-31,4904022.0
2023-11-30,4909485.0
2023-12-31,4931293.0
2024-01-31,4876301.0
2024-02-29,4911610.0
2024-03-31,4937051.0
2024-04-30,4928754.0
2024-05-31,4941802.0
2024-06-30,4943406.0
2024-07-31,4993642.0
2024-08-31,4987620.0
2024-09-30,5035893.0
2024-10-31,5057045.0
2024-11-30,5080889.0
2024-12-31,5115272.0
